# Slime Simulator State Dump
# Width: 640, Height: 480
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00136000 000F0000 152
00140000 000E6000 308
00136000 000E6000 274
00136000 000F0000 14C
0013F000 000E6000 2FC
00136000 000E6000 25C
00136000 000F0000 11C
00136000 000E6000 29C
00136000 000F0000 19D
00140000 000E6000 39E
00140000 000E6000 3A0
00141000 000E6000 3A4
00140000 000E7000 3AC
00141000 000E9000 3BC
00140000 000EC000 3DC
00140000 000F0000 01C
00140000 000F0000 09C
00136000 000F0000 19C
00140000 000E6000 39D
00140000 000E6000 39E
00140000 000E6000 3A0
00141000 000E6000 3A5
00141000 000E7000 3AF
00141000 000E9000 3C2
00140000 000ED000 3E8
00140000 000F0000 035
0013C000 000F1000 0CE
00136000 000E7000 200
00140000 000F0000 065
00136000 000F0000 12F
00139000 000E6000 2C3
00136000 000E9000 1EA
00140000 000F0000 039
0013B000 000F1000 0D6
00136000 000E6000 210
00140000 000F0000 084
00136000 000F0000 16D
00140000 000E6000 33F
0013D000 000E6000 2E3
00136000 000E6000 22B
0013D000 000F1000 0BB
00136000 000EA000 1DA
00140000 000F0000 018
00140000 000F0000 095
00136000 000F0000 18F
00140000 000E6000 383
00140000 000E6000 36B
00140000 000E6000 33A
0013C000 000E6000 2D9
00136000 000E6000 217
00140000 000F0000 093
00136000 000F0000 18A
00140000 000E6000 379
00140000 000E6000 357
00140000 000E6000 313
00136000 000E6000 28A
00136000 000F0000 178
00140000 000E6000 354
00140000 000E6000 30C
00136000 000E6000 27C
00136000 000F0000 15D
00140000 000E6000 31E
00136000 000E6000 2A1
00136000 000EF000 1A7
00140000 000E8000 3B3
00140000 000EA000 3CA
00141000 000EF000 3F8
00140000 000F0000 055
00136000 000F0000 10F
00136000 000E6000 283
00136000 000F0000 16B
00140000 000E6000 33A
0013C000 000E6000 2D9
00136000 000E6000 216
00140000 000F0000 090
00136000 000F0000 185
00140000 000E6000 36F
00140000 000E6000 343
0013D000 000E6000 2EB
00136000 000E6000 23B
0013A000 000F1000 0DA
00136000 000E6000 219
00140000 000F0000 096
00136000 000F0000 190
00140000 000E6000 384
00140000 000E6000 36C
00140000 000E6000 33C
0013C000 000E6000 2DD
00136000 000E6000 21E
00140000 000F0000 0A1
00136000 000F0000 1A6
00141000 000E8000 3B1
00140000 000EA000 3C7
00140000 000EE000 3F2
00140000 000F0000 048
00138000 000F1000 0F4
00136000 000E6000 24D
00137000 000F1000 0FF
00136000 000E6000 263
00136000 000F0000 12B
00139000 000E6000 2BA
00136000 000EB000 1D8
00140000 000F0000 014
00140000 000F0000 08C
00136000 000F0000 17D
00140000 000E6000 35F
00140000 000E6000 322
00137000 000E6000 2A9
00136000 000EE000 1B6
00140000 000EB000 3D1
00140000 000F0000 006
00140000 000F0000 071
00136000 000F0000 146
0013E000 000E6000 2F1
00136000 000E6000 247
00138000 000F0000 0F2
00136000 000E6000 249
00137000 000F1000 0F7
00136000 000E6000 253
00136000 000F0000 10A
00136000 000E6000 278
00136000 000F0000 155
00140000 000E6000 30F
00136000 000E6000 283
00136000 000F0000 16B
00140000 000E6000 33A
0013C000 000E6000 2D8
00136000 000E6000 214
00140000 000F0000 08D
00136000 000F0000 17E
00140000 000E6000 360
00140000 000E6000 325
00137000 000E6000 2AE
00136000 000ED000 1C1
00140000 000ED000 3E6
00140000 000F0000 030
0013D000 000F1000 0C4
